name,score,genres,episodes,studios,duration,rank,popularity,favorites,scored_by,members
Project BLUE Chikyuu SOS,6.62,"Adventure, Comedy, Sci-Fi",6,A.C.G.T.,45 min per ep,6419,9437,8,1225,4222
Coyote Ragtime Show,6.62,"Action, Adventure, Comedy, Sci-Fi",12,ufotable,24 min per ep,6387,4935,36,9119,21975
Jigoku Shoujo: Yoi no Togi,6.62,"Horror, Mystery, Supernatural",6,Studio Deen,23 min per ep,6404,2907,90,20588,64097
Oniisan Ohitori desu ka?,6.61,Hentai,1,Seven,16 min,,13365,4,574,1268
Complex♡Princess,6.61,,1,SANZIGEN,3 min,,20937,5,131,231
Itai no Itai no Tondeike,6.61,Drama,1,,3 min,,14420,2,492,953
Kyuuseishu,6.61,,1,,3 min,,19341,0,160,321
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Nenmatsu Special,6.61,Comedy,1,DLE,7 min,6453,10654,2,1026,2898
Yoru no Pierrot,6.61,,1,,3 min,,15334,0,432,729
Nokemono-tachi no Yoru,6.61,"Action, Fantasy",13,Ashi Productions,23 min per ep,6428,3400,127,14051,47492
Yuusha ga Shinda!,6.61,"Action, Comedy, Fantasy, Ecchi",12,LIDENFILMS,23 min per ep,6447,1728,398,56171,139972
Sprechchor,6.61,,1,,2 min,,17149,0,249,488
Shoujo Kyouiku RE,6.61,Hentai,2,New Generation,15 min per ep,,7698,45,3103,7208
Muma no Machi Cornelica,6.61,"Supernatural, Hentai",4,Majin,16 min per ep,,7085,36,3570,8919
Ane Kyun!: Joshi ga Ie ni Kita!,6.61,Hentai,1,Studio 1st,25 min,,6249,32,5182,12009
My Imouto: Koakuma na A-Cup,6.61,Hentai,2,Lyrics,15 min per ep,,6154,40,5248,12525
Itazura The Animation,6.61,Hentai,2,Studio 9 Maiami,26 min per ep,,7052,41,3808,9004
Granblue Fantasy The Animation: Kabocha no Lantern,6.61,Fantasy,1,A-1 Pictures,23 min,6457,5290,10,6844,18607
Hyakka Ryouran: Samurai Girls Specials,6.61,Ecchi,6,Arms,3 min per ep,6460,4615,13,11855,25799
Sword Art Online II: Sword Art Offline II,6.61,Comedy,9,I was a Ballerina,13 min per ep,6435,2861,166,26475,65881
Tanken Driland,6.61,"Adventure, Fantasy",37,Toei Animation,20 min per ep,6435,7729,23,2153,7151
Yi Ren Zhi Xia: Fanwai Pian,6.61,"Action, Supernatural",2,Qiyuan Yinghua,16 min per ep,6446,7181,6,1584,8612
Sugar Loss,6.61,Supernatural,1,,3 min,,18238,1,221,401
Future Card Buddyfight Battsu,6.61,,52,"Xebec, OLM",23 min per ep,6455,8800,15,2511,5193
Kabuki-bu!,6.61,,12,Studio Deen,24 min per ep,6420,5060,22,6297,20793
Carole & Tuesday: Gus to Roddy no Kaisouroku,6.61,"Drama, Romance, Sci-Fi",1,Bones,22 min,6450,8681,5,1659,5391
Yes! BanG_Dream!,6.61,,1,"Xebec, Issen",6 min,,9481,7,1831,4157
Psychogram feat. Hatsune Miku,6.61,,1,OTOIRO,3 min,,14545,4,456,924
Tokyo Mew Mew New ♡,6.61,"Romance, Sci-Fi",12,"Yumeta Company, Graphinica",24 min per ep,6439,3459,343,11481,46433
Tennis no Oujisama: Message in a Bottle,6.61,Comedy,1,M.S.C,11 min,6437,10813,0,757,2766
Futatsu no Kurumi,6.61,Drama,1,Shin-Ei Animation,45 min,6455,13179,1,481,1335
Karate Baka Ichidai,6.61,"Adventure, Sports",47,TMS Entertainment,24 min per ep,6424,11625,4,624,2173
Dragon Crisis!,6.61,"Action, Fantasy, Romance",12,Studio Deen,23 min per ep,6452,1434,285,89110,176053
Da Nao Tiangong,6.61,Adventure,1,Shanghai Animation Film Studio,1 hr 54 min,6451,13320,7,502,1284
Sonic X,6.61,"Action, Adventure, Comedy, Sci-Fi",78,TMS Entertainment,24 min per ep,6434,2447,693,50667,85567
Hurricane Live! 2033,6.61,,5,AIC,4 min per ep,6459,10751,3,935,2817
Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,6.61,"Action, Adventure, Comedy, Fantasy",1,OLM,23 min,6432,7111,2,4000,8844
Wan Jie Qi Yuan,6.61,Fantasy,40,Ruo Hong Culture,7 min per ep,6445,12619,6,503,1577
Konchuu Monogatari Minashigo Hutch,6.61,"Adventure, Comedy, Drama",91,Tatsunoko Production,24 min per ep,6426,9496,14,2351,4142
Telepathy Shoujo Ran,6.61,Fantasy,26,TMS Entertainment,24 min per ep,6437,6824,6,3006,9786
Kashimashi: Girl Meets Girl,6.61,"Comedy, Drama, Girls Love",12,Studio Hibari,24 min per ep,6424,3212,182,24337,52754
Tsukumo,6.61,Supernatural,1,Sunrise,14 min,6443,7295,4,4229,8286
Otome wa Boku ni Koishiteru Special,6.61,"Comedy, Romance",1,feel.,24 min,6431,6230,8,6524,12084
Tsukuyomi: Moon Phase Special,6.61,"Avant Garde, Comedy, Slice of Life",1,Shaft,23 min,6444,6180,4,6255,12388
Touch 3: Kimi ga Toorisugita Ato ni - Don't Pass Me By,6.61,"Drama, Sports",1,Group TAC,1 hr 23 min,6442,11161,1,897,2487
Touch 2: Sayonara no Okurimono,6.61,"Drama, Romance, Sports",1,Group TAC,1 hr 20 min,6441,11080,2,960,2552
Akakichi no Eleven,6.61,Sports,52,Tokyo TV Douga,25 min per ep,6449,11182,9,626,2473
Kamui no Ken,6.61,"Adventure, Drama, Fantasy",1,Madhouse,2 hr 12 min,6424,7389,26,2404,7970
Gregory Horror Show: The Second Guest,6.61,"Comedy, Horror, Mystery, Supernatural",25,Milky Cartoon,3 min per ep,6458,11697,12,1022,2131
Telecaster B-Boy,6.61,,1,,2 min,,17406,0,251,462
Ichigo 100%,6.61,"Comedy, Romance, Ecchi",12,Madhouse,23 min per ep,6461,1974,253,55926,118141
He Wei Dao x Daojian Shenyu Alicization,6.61,Comedy,1,A-1 Pictures,3 min,,8498,39,2488,5705
Mamotte! Lollipop,6.61,"Adventure, Comedy, Romance",13,Studio Comet,25 min per ep,6429,4541,122,13258,26911
Koukaku Kidoutai: SAC_2045,6.61,"Action, Sci-Fi",12,"Production I.G, Sola Digital Arts",24 min per ep,6426,3985,70,11152,35178
Teppen!!!!!!!!!!!!!!!,6.61,Comedy,12,Drive,23 min per ep,6438,5074,41,6611,20637
Eyeshield 21: Maboroshi no Golden Bowl,6.61,Sports,1,Production I.G,29 min,6453,7060,8,3799,8982
30-sai no Hoken Taiiku,6.61,"Comedy, Romance, Ecchi",12,Gathering,13 min per ep,6448,2863,83,27082,65808
Kakurenbo,6.61,"Horror, Supernatural",1,Yamato Works,24 min,6421,3810,103,20083,38881
Shamanic Princess,6.61,"Action, Fantasy, Romance",6,Triangle Staff,28 min per ep,6432,5666,69,5327,15422
IS: Infinite Stratos,6.61,"Action, Comedy, Romance, Sci-Fi, Ecchi",12,8bit,24 min per ep,6462,343,2300,369898,657266
Orient,6.61,"Action, Adventure, Fantasy",12,A.C.G.T.,23 min per ep,6431,1929,518,42949,121343
Aporia,6.6,,1,,4 min,,14614,1,455,907
Yi Ren Zhi Xia: Xiu Tie Chong Xian,6.6,"Action, Supernatural",1,,1 hr 10 min,6512,12193,5,166,1823
Intergalactic Bound,6.6,Sci-Fi,1,,3 min,,19103,2,174,336
Heart Beat (2023),6.6,,1,,6 min,,19830,1,167,292
Shenyuan Youxi,6.6,"Action, Fantasy, Sci-Fi",16,ORCEN,22 min per ep,6503,16948,0,142,507
Hi no Tori: Eden no Sora,6.6,"Drama, Romance, Sci-Fi, Supernatural, Suspense",4,Studio 4°C,24 min per ep,6483,8098,10,1903,6366
Dainouteki na Rendezvous,6.6,,1,Qzil.la,2 min,,10638,1,1615,2912
Mr.,6.6,,1,"Calf Studio, Ijigen Tokyo",3 min,,16641,0,318,541
Kidou Senshi Gundam: Tekketsu no Orphans - Tokubetsu-hen,6.6,"Action, Drama, Sci-Fi",9,Sunrise,25 min per ep,6486,11258,13,283,2427
Aisarenakutemo Kimi ga Iru,6.6,,1,,4 min,,16999,4,291,504
Toilet no Hanako-san vs Kukkyou Taimashi,6.6,Hentai,4,Suzuki Mirano,16 min per ep,,7433,42,3494,7827
Ano Ko no Kawari ni Suki na Dake,6.6,Hentai,2,Blue bread,20 min per ep,,8197,49,2876,6174
Soreyuke Marin-chan,6.6,"Sci-Fi, Hentai",3,Studio G-1Neo,28 min per ep,,9391,18,1502,4278
Koukyoushihen Eureka Seven Hi-Evolution 2: Anemone,6.6,"Adventure, Drama, Sci-Fi",1,Bones,1 hr 30 min,6488,6046,18,2259,13047
Sangokushi: Dai San Bu - Harukanaru Taichi,6.6,Action,1,Toei Animation,2 hr 27 min,6499,15013,1,225,808
Alps no Shoujo Heidi: Heidi to Clara-hen,6.6,Drama,1,Nippon Animation,1 hr 29 min,6465,11486,0,893,2258
Seireitsukai no Blade Dance Specials,6.6,"Action, Comedy, Fantasy, Ecchi",6,TNK,3 min per ep,6500,3807,21,17686,38952
Kimagure Mercy,6.6,,1,,3 min,,13036,1,837,1393
Ano Hi no Kanojo-tachi,6.6,Slice of Life,8,CloverWorks,1 min per ep,6467,8031,19,1873,6499
Mu Wang Zhi Wang: Han Tie Dou,6.6,"Action, Mystery, Romance",21,BUILD DREAM,19 min per ep,6491,14790,2,225,859
Final Fantasy XV: Episode Ardyn - Prologue,6.6,Action,1,Satelight,13 min,6477,6301,10,4884,11761
Tenshi no 3P!,6.6,,12,Project No.9,23 min per ep,6504,2819,116,24017,67612
Kao no nai Tsuki,6.6,Hentai,5,"Imagin, ORADA COMPANY",29 min per ep,,6451,48,4708,11126
TSF Monogatari,6.6,Hentai,2,Office TakeOut,26 min per ep,,5250,151,8764,18908
Bleach KaraBuri!: Gotei Juusan Yatai Daisakusen!,6.6,Comedy,1,Pierrot,12 min,6469,5092,45,7391,20448
Koisuru Shirokuma,6.6,"Boys Love, Comedy",21,Gathering,39 sec per ep,6488,7405,21,1537,7920
Gudetama,6.6,"Comedy, Gourmet",1717,Gathering,1 min per ep,6479,5994,60,2721,13393
Girls & Panzer Movie: 3-pun Chotto de Wakaru!! Girls & Panzer,6.6,,1,Actas,3 min,6478,7689,11,2329,7230
Kiss of Life,6.6,,1,Happy Elements,2 min,,13508,3,532,1222
Mahou Sensei Negima!: Introduction Film,6.6,"Action, Comedy, Romance, Supernatural, Ecchi",3,Xebec,8 min per ep,6489,6036,4,3903,13101
Darwin's Game: Log Line,6.6,"Action, Mystery, Sci-Fi, Suspense",1,Nexus,24 min,6473,5271,29,6354,18713
Jintian Kaishi Shanyao Dengchang,6.6,Comedy,15,ASK Animation Studio,20 min per ep,6485,14029,5,119,1065
Toutotsu ni Egypt Shin,6.6,"Comedy, Fantasy",10,Typhoon Graphics,5 min per ep,6505,7245,29,3671,8449
Pokemon Diamond & Pearl Atsumare! Pokemon Planet Center,6.6,"Action, Adventure, Comedy, Fantasy",1,,26 min,6495,11250,1,708,2432
True Tears Epilogue,6.6,"Drama, Romance",1,P.A. Works,3 min,,5983,4,6696,13464
Fumiko no Kokuhaku,6.6,"Award Winning, Comedy",1,,2 min,6478,4372,17,17407,29064
Saki Biyori Animation,6.6,"Comedy, Slice of Life",1,Studio Gokumi,24 min,6498,9546,4,1496,4071
Seton Doubutsuki,6.6,"Adventure, Fantasy",45,Eiken,25 min per ep,6502,13632,3,481,1179
Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess,6.6,"Adventure, Comedy",1,TMS Entertainment,54 min,6506,11272,4,845,2415
With All Our Hearts,6.6,Fantasy,1,,4 min,6509,12951,3,594,1421
Seishun Anime Zenshuu,6.6,"Drama, Romance",32,Nippon Animation,26 min per ep,6501,10842,4,615,2735
Renai Boukun,6.6,"Comedy, Romance, Supernatural",12,EMT Squared,23 min per ep,6496,656,674,189347,382665
Norimono Oukoku BuBu ChaCha,6.6,"Comedy, Slice of Life",26,Daume,20 min per ep,6492,13626,2,453,1182
Dagashi Kashi,6.6,"Comedy, Gourmet",12,feel.,24 min per ep,6471,505,1023,205126,472478
Hatsumei Boy Kanipan,6.6,"Adventure, Comedy, Sci-Fi",31,,24 min per ep,6482,12810,2,641,1486
Dallyeola Hani,6.6,Sports,13,Daewon Media,28 min per ep,6472,13816,1,292,1120
Ray The Animation,6.6,"Drama, Romance, Sci-Fi",13,OLM,24 min per ep,6496,5642,16,4474,15568
Bastard!! Ankoku no Hakaishin (ONA),6.6,"Action, Adventure, Fantasy, Ecchi",13,LIDENFILMS,23 min per ep,6468,2624,310,31805,76065
Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,6.6,"Adventure, Comedy, Mystery",1,TMS Entertainment,46 min,6490,11825,0,641,2042
Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,6.6,"Boys Love, Erotica",2,PrimeTime,5 min per ep,,7202,8,4104,8575
Doraemon: Time Machine de Oshougatsu,6.6,"Adventure, Comedy, Sci-Fi",1,,22 min,6476,12071,1,721,1901
Mister Jewel Box,6.6,,1,,3 min,,17338,0,260,470
Papuwa,6.6,"Adventure, Comedy",26,Nippon Animation,23 min per ep,6493,11541,10,866,2225
3 Choume no Tama: Uchi no Tama Shirimasen ka?,6.6,Adventure,36,Group TAC,23 min per ep,6463,10589,7,1162,2949
Tottoko Hamtarou OVA 1: Hamtaro no Otanjoubi - Mama wo Tasunete Sanzen Techi Techi,6.6,"Adventure, Comedy",1,TMS Entertainment,44 min,6506,11380,2,846,2335
