name,score,genres,episodes,studios,duration,rank,popularity,favorites,scored_by,members
Sousou no Frieren,9.31,"Adventure, Drama, Fantasy",28,Madhouse,24 min per ep,1,160,63200,603520,1035677
Fullmetal Alchemist: Brotherhood,9.1,"Action, Adventure, Drama, Fantasy",64,Bones,24 min per ep,2,3,231928,2196353,3483268
Steins;Gate,9.07,"Drama, Sci-Fi, Suspense",24,White Fox,24 min per ep,3,14,194507,1449844,2667979
One Piece Fan Letter,9.06,"Action, Adventure, Fantasy",1,Toei Animation,24 min,4,2350,1970,68977,91278
Shingeki no Kyojin Season 3 Part 2,9.05,"Action, Drama, Suspense",10,Wit Studio,23 min per ep,5,21,60500,1671010,2407861
Gintama°,9.05,"Action, Comedy, Sci-Fi",51,Bandai Namco Pictures,24 min per ep,6,344,17033,260443,656687
Gintama: The Final,9.04,"Action, Comedy, Drama, Sci-Fi",1,Bandai Namco Pictures,1 hr 44 min,7,1536,4437,78057,163478
Hunter x Hunter (2011),9.03,"Action, Adventure, Fantasy",148,Madhouse,23 min per ep,8,8,218449,1852164,2981476
Gintama',9.02,"Action, Comedy, Sci-Fi",51,Sunrise,24 min per ep,9,401,8337,245851,580364
Gintama': Enchousen,9.02,"Action, Comedy, Sci-Fi",13,Sunrise,24 min per ep,10,759,3095,171202,338134
Ginga Eiyuu Densetsu,9.01,"Drama, Sci-Fi",110,"K-Factory, Kitty Film Mitaka Studio",26 min per ep,11,761,16899,82446,337614
Bleach: Sennen Kessen-hen,9,"Action, Adventure, Supernatural",13,Pierrot,24 min per ep,12,374,21977,326305,616144
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.99,"Comedy, Romance",13,A-1 Pictures,23 min per ep,13,168,32137,572299,1008941
Gintama.,8.98,"Action, Comedy, Sci-Fi",12,Bandai Namco Pictures,24 min per ep,14,785,2774,151870,328137
Fruits Basket: The Final,8.96,"Drama, Romance, Supernatural",13,TMS Entertainment,23 min per ep,15,460,20756,256090,515201
Clannad: After Story,8.93,"Drama, Romance",24,Kyoto Animation,24 min per ep,16,120,71418,676462,1231180
Gintama,8.93,"Action, Comedy, Sci-Fi",201,Sunrise,24 min per ep,17,145,60176,408049,1103574
Koe no Katachi,8.93,"Award Winning, Drama",1,Kyoto Animation,2 hr 10 min,18,20,91341,1689123,2447537
3-gatsu no Lion 2nd Season,8.91,Drama,22,Shaft,25 min per ep,19,590,15271,206178,416992
Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Award Winning, Drama, Sci-Fi",25,Sunrise,24 min per ep,20,47,78189,1236270,1851917
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,"Action, Comedy, Sci-Fi",1,Sunrise,1 hr 50 min,21,1038,2122,139218,248962
Kusuriya no Hitorigoto,8.88,"Drama, Mystery",24,"OLM, TOHO animation STUDIO",22 min per ep,23,419,16909,297214,566605
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,"Action, Comedy, Sci-Fi",14,Bandai Namco Pictures,24 min per ep,22,1232,1061,100478,209405
Monster,8.88,"Drama, Mystery, Suspense",74,Madhouse,24 min per ep,24,123,56701,457773,1207880
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,"Action, Drama, Suspense",2,MAPPA,1 hr 12 min per ep,25,290,16314,443257,742989
Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.86,"Action, Adventure, Fantasy",13,A-1 Pictures,23 min per ep,26,658,4526,93496,382406
Owarimonogatari 2nd Season,8.86,"Comedy, Mystery, Supernatural",7,Shaft,22 min per ep,27,593,8896,200768,415701
Violet Evergarden Movie,8.85,"Award Winning, Drama",1,Kyoto Animation,2 hr 20 min,28,340,9181,303372,660703
Kingdom 3rd Season,8.83,Action,26,"Pierrot, Studio Signpost",25 min per ep,30,2033,2352,45823,114096
Kimi no Na wa.,8.83,"Award Winning, Drama",1,CoMix Wave Films,1 hr 46 min,29,11,92713,1978327,2864122
Vinland Saga Season 2,8.81,"Action, Adventure, Drama",24,MAPPA,25 min per ep,32,298,17196,389528,716596
Gintama. Shirogane no Tamashii-hen,8.81,"Action, Comedy, Sci-Fi",12,Bandai Namco Pictures,24 min per ep,31,1169,1191,109345,222626
Mob Psycho 100 II,8.79,"Action, Comedy, Supernatural",13,Bones,24 min per ep,33,73,33113,1020787,1617520
Kizumonogatari III: Reiketsu-hen,8.78,"Action, Mystery, Supernatural",1,Shaft,1 hr 23 min,34,493,7840,282676,484503
Shingeki no Kyojin: The Final Season,8.78,"Action, Drama, Suspense",16,MAPPA,23 min per ep,35,33,52884,1408828,2121702
Hajime no Ippo,8.78,Sports,75,Madhouse,23 min per ep,36,361,23493,314600,636699
Kusuriya no Hitorigoto 2nd Season,8.77,"Drama, Mystery",24,"OLM, TOHO animation STUDIO",24 min per ep,38,1189,1473,27623,218318
Alien Stage,8.77,"Drama, Sci-Fi, Suspense",,LICO,3 min,,8067,341,2275,6420
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,Sports,10,Production I.G,24 min per ep,37,116,15733,832785,1259090
Sen to Chihiro no Kamikakushi,8.77,"Adventure, Award Winning, Fantasy",1,Studio Ghibli,2 hr 4 min,39,44,33902,1349000,1929589
Boku no Kokoro no Yabai Yatsu 2nd Season,8.76,"Comedy, Romance",13,Shin-Ei Animation,23 min per ep,44,1046,5345,136630,246523
Monogatari Series: Second Season,8.76,"Comedy, Mystery, Romance, Supernatural",26,Shaft,25 min per ep,45,316,23856,368174,691180
Bocchi the Rock!,8.76,Comedy,12,CloverWorks,23 min per ep,42,335,32139,403753,669862
Vinland Saga,8.76,"Action, Adventure, Drama",24,Wit Studio,24 min per ep,42,72,51719,951551,1643387
Jujutsu Kaisen 2nd Season,8.76,"Action, Supernatural",23,MAPPA,23 min per ep,45,138,24028,644946,1145825
Shingeki no Kyojin: The Final Season Part 2,8.76,"Action, Drama, Suspense",12,MAPPA,23 min per ep,40,99,31035,827587,1407398
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.75,"Action, Drama, Suspense",1,MAPPA,2 hr 25 min,46,4216,207,4806,31206
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.75,"Action, Drama, Suspense",1,MAPPA,2 hr 25 min,46,4216,207,4806,31206
Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",26,Sunrise,24 min per ep,47,42,85549,1005648,1946300
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,"Comedy, Drama, Romance",1,A-1 Pictures,1 hr 36 min,49,817,2126,175146,315306
Ashita no Joe 2,8.74,"Drama, Sports",47,Tokyo Movie Shinsha,24 min per ep,47,3088,2969,22676,57080
Idol,8.73,,1,Doga Kobo,3 min,,4555,351,18475,26812
The First Slam Dunk,8.73,"Award Winning, Sports",1,"Toei Animation, DandeLion Animation Studio",2 hr 4 min,53,3007,864,26853,60075
Kingdom 4th Season,8.73,Action,26,"Pierrot, Studio Signpost",24 min per ep,50,2687,1109,32174,73495
Shiguang Dailiren,8.73,"Drama, Mystery, Suspense",11,LAN Studio,23 min per ep,52,586,13152,161198,418626
One Piece,8.73,"Action, Adventure, Fantasy",,Toei Animation,24 min,51,17,234344,1417472,2493060
Kingdom 5th Season,8.72,Action,13,"Pierrot, Studio Signpost",24 min per ep,55,3484,522,19461,45822
Hibike! Euphonium 3,8.72,Drama,13,Kyoto Animation,24 min per ep,57,2530,1522,29840,81218
Mushishi Zoku Shou 2nd Season,8.72,"Adventure, Mystery, Slice of Life, Supernatural",10,Artland,23 min per ep,56,930,1526,111153,277253
Kimetsu no Yaiba: Yuukaku-hen,8.72,"Action, Supernatural",11,ufotable,26 min per ep,54,77,24848,999131,1567881
Mob Psycho 100 III,8.71,"Action, Comedy, Supernatural",12,Bones,23 min per ep,59,277,11405,381197,761021
86 Part 2,8.71,"Action, Drama, Sci-Fi",12,A-1 Pictures,23 min per ep,58,423,16597,322317,561710
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,"Action, Adventure, Supernatural",13,Pierrot,24 min per ep,62,750,4741,187979,340746
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,Drama,12,Studio Deen,24 min per ep,61,1324,3206,67322,193040
Code Geass: Hangyaku no Lelouch,8.7,"Action, Award Winning, Drama, Sci-Fi",25,Sunrise,24 min per ep,61,22,111695,1449605,2341419
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,"Action, Drama, Romance",4,Studio Deen,29 min per ep,62,910,6351,140881,283387
Monogatari Series: Off & Monster Season,8.69,"Comedy, Mystery, Supernatural",14,Shaft,25 min per ep,65,2484,785,28645,83579
Bleach: Sennen Kessen-hen - Soukoku-tan,8.69,"Action, Adventure, Supernatural",14,Pierrot Films,24 min per ep,64,1215,3043,96710,212702
Mushishi Zoku Shou,8.69,"Adventure, Mystery, Slice of Life, Supernatural",10,Artland,24 min per ep,66,838,1615,123022,310869
Violet Evergarden,8.68,Drama,13,Kyoto Animation,24 min per ep,69,46,64840,1024115,1873812
Great Teacher Onizuka,8.68,Comedy,43,Pierrot,25 min per ep,69,221,27339,425325,865980
Mo Dao Zu Shi: Wanjie Pian,8.68,"Action, Adventure, Drama, Fantasy, Mystery",12,B.CMAY PICTURES,24 min per ep,67,2420,1672,30891,86993
Look Back,8.67,Drama,1,Studio DURIAN,57 min,70,1669,2815,76477,147517
Hajime no Ippo: New Challenger,8.67,Sports,26,Madhouse,23 min per ep,71,866,1870,176729,303315
Howl no Ugoku Shiro,8.67,"Adventure, Award Winning, Drama, Fantasy, Romance",1,Studio Ghibli,1 hr 59 min,72,100,30361,970911,1405800
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.66,"Drama, Fantasy, Suspense",16,White Fox,23 min per ep,75,711,4942,70090,358430
Tian Guan Cifu Er,8.66,"Action, Adventure, Drama, Fantasy",12,Red Dog Culture House,24 min per ep,73,3207,1178,19003,52916
Mononoke Hime,8.66,"Action, Adventure, Award Winning, Fantasy",1,Studio Ghibli,2 hr 13 min,74,106,22911,844880,1309574
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,"Action, Fantasy",1,ufotable,2 hr 2 min,78,673,8250,202141,374242
Odd Taxi,8.65,"Award Winning, Drama, Mystery, Suspense",13,"OLM, P.I.C.S.",23 min per ep,77,514,8723,231139,467320
Mushishi,8.65,"Adventure, Mystery, Slice of Life, Supernatural",26,Artland,23 min per ep,76,223,27511,287211,862837
Made in Abyss,8.64,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",13,Kinema Citrus,25 min per ep,79,91,45892,787582,1455918
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,"Adventure, Drama, Fantasy, Ecchi",12,Studio Bind,23 min per ep,80,165,18976,637526,1017682
Shiguang Dailiren II,8.64,"Drama, Mystery, Suspense",12,LAN Studio,24 min per ep,82,1746,1868,60150,138096
Shigatsu wa Kimi no Uso,8.64,"Drama, Romance",22,A-1 Pictures,22 min per ep,81,24,87426,1397060,2296965
Natsume Yuujinchou Shi,8.63,"Slice of Life, Supernatural",13,Brain's Base,24 min per ep,85,1024,2060,113102,254514
Tengen Toppa Gurren Lagann,8.63,"Action, Adventure, Award Winning, Sci-Fi",27,Gainax,24 min per ep,84,67,80819,929905,1674867
Shingeki no Kyojin Season 3,8.63,"Action, Drama, Suspense",12,Wit Studio,23 min per ep,83,18,21316,1693471,2491674
Bungou Stray Dogs 5th Season,8.62,"Action, Mystery",11,Bones,23 min per ep,88,1188,2668,99837,218431
Haikyuu!! Movie: Gomisuteba no Kessen,8.62,Sports,1,Production I.G,1 hr 24 min,90,1455,1469,68554,173507
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,"Comedy, Romance",12,A-1 Pictures,24 min per ep,86,98,18921,903949,1410863
Ping Pong the Animation,8.62,"Award Winning, Drama, Sports",11,Tatsunoko Production,23 min per ep,87,600,16656,193025,412425
Death Note,8.62,"Supernatural, Suspense",37,Madhouse,23 min per ep,89,2,178500,2848272,4062759
Haikyuu!! Second Season,8.62,Sports,25,Production I.G,24 min per ep,91,88,15888,981747,1491233
Dungeon Meshi,8.61,"Adventure, Comedy, Fantasy, Gourmet",24,Trigger,25 min per ep,93,540,8860,218124,448102
Natsume Yuujinchou Roku,8.61,"Slice of Life, Supernatural",11,Shuka,23 min per ep,97,1312,1126,72294,195112
Cyberpunk: Edgerunners,8.61,"Action, Sci-Fi",10,Trigger,25 min per ep,92,215,29520,594861,876918
Hajime no Ippo: Rising,8.61,Sports,25,"Madhouse, MAPPA",22 min per ep,94,933,1356,152031,276157
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",1,Kinema Citrus,1 hr 45 min,95,481,3803,277908,496087
Made in Abyss: Retsujitsu no Ougonkyou,8.61,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",12,Kinema Citrus,25 min per ep,96,489,6510,228408,488048
Kenpuu Denki Berserk,8.6,"Action, Adventure, Drama, Fantasy, Horror",25,OLM,23 min per ep,98,305,29444,379883,706824
Natsume Yuujinchou Shichi,8.59,"Slice of Life, Supernatural",12,Shuka,23 min per ep,99,3526,446,11386,44957
[Oshi no Ko] 2nd Season,8.59,Drama,13,Doga Kobo,25 min per ep,104,585,5512,182975,418945
[Oshi no Ko],8.59,"Award Winning, Drama",11,Doga Kobo,30 min per ep,103,198,30221,544032,923199
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.59,"Action, Sci-Fi",1,Gainax,2 hr 5 min,102,1153,1107,106639,225746
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,"Drama, Romance, Supernatural",1,CloverWorks,1 hr 30 min,100,285,10578,474848,752377
Suzumiya Haruhi no Shoushitsu,8.59,"Award Winning, Mystery, Sci-Fi, Supernatural",1,Kyoto Animation,2 hr 41 min,101,367,13824,318824,627002
Shin Evangelion Movie:||,8.58,"Action, Award Winning, Drama, Sci-Fi, Suspense",1,Khara,2 hr 35 min,105,630,7841,174256,396031
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,"Action, Adventure",39,David Production,23 min per ep,106,152,33124,724484,1082543
Mushishi Zoku Shou: Suzu no Shizuku,8.58,"Adventure, Mystery, Slice of Life, Supernatural",1,Artland,47 min,108,1802,232,53353,133647
Doupo Cangqiong: San Nian Zhi Yue,8.58,"Action, Fantasy",13,Motion Magic,24 min per ep,106,7118,193,4129,8820
Dandadan,8.56,"Action, Comedy, Supernatural",12,Science SARU,23 min per ep,109,350,10089,355733,651289
Natsume Yuujinchou Go,8.56,"Slice of Life, Supernatural",11,Shuka,23 min per ep,113,1308,874,79450,195595
Kizumonogatari II: Nekketsu-hen,8.56,"Action, Mystery, Supernatural",1,Shaft,1 hr 4 min,111,517,2403,282167,465162
Ookami Kodomo no Ame to Yuki,8.56,"Award Winning, Slice of Life, Supernatural",1,Studio Chizu,1 hr 57 min,115,239,11566,471414,836975
Natsume Yuujinchou San,8.56,"Slice of Life, Supernatural",13,Brain's Base,24 min per ep,114,995,1470,122520,261900
Shingeki no Kyojin,8.56,"Action, Award Winning, Drama, Suspense",25,Wit Studio,24 min per ep,116,1,178145,2904954,4116124
Nana,8.56,"Drama, Romance",47,Madhouse,22 min per ep,112,297,32309,276192,717201
Jujutsu Kaisen,8.56,"Action, Award Winning, Supernatural",24,MAPPA,23 min per ep,109,13,93177,1811091,2757713
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.56,"Action, Supernatural",1,ufotable,1 hr 56 min,110,71,13332,1091564,1644294
Shouwa Genroku Rakugo Shinjuu,8.55,Drama,13,Studio Deen,26 min per ep,122,877,5889,96716,300420
Kimi no Suizou wo Tabetai,8.55,"Drama, Romance",1,Studio VOLN,1 hr 48 min,119,164,21970,615512,1030162
Yojouhan Shinwa Taikei,8.55,"Award Winning, Comedy, Mystery, Romance, Suspense",11,Madhouse,22 min per ep,124,511,18682,150241,469564
Perfect Blue,8.55,"Avant Garde, Award Winning, Drama, Horror, Suspense",1,Madhouse,1 hr 21 min,120,280,20400,405913,756079
Slam Dunk,8.55,Sports,101,Toei Animation,23 min per ep,123,809,7647,143290,317352
Haikyuu!! To the Top Part 2,8.55,Sports,12,Production I.G,23 min per ep,118,219,6340,516585,868014
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.55,"Action, Avant Garde, Drama, Sci-Fi, Suspense",1,"Gainax, Production I.G",1 hr 26 min,121,175,30350,652036,976631
Steins;Gate 0,8.54,"Drama, Sci-Fi, Suspense",23,White Fox,23 min per ep,125,203,12218,447009,907290
Fate/Zero 2nd Season,8.54,"Action, Fantasy",12,ufotable,24 min per ep,126,136,20536,730925,1150699
Fruits Basket 2nd Season,8.54,"Drama, Romance, Supernatural",25,TMS Entertainment,23 min per ep,127,435,6255,280737,544392
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.53,"Action, Adventure",14,David Production,24 min per ep,130,1076,3177,158657,240999
Mushishi: Hihamukage,8.53,"Adventure, Mystery, Slice of Life, Supernatural",1,Artland,45 min,131,1686,202,69995,145212
Zoku Natsume Yuujinchou,8.53,"Slice of Life, Supernatural",13,Brain's Base,24 min per ep,129,1013,1489,129858,257103
Hotaru no Haka,8.53,Drama,1,Studio Ghibli,1 hr 28 min,128,299,8542,426365,714196
Shingeki no Kyojin Season 2,8.52,"Action, Drama, Suspense",12,Wit Studio,24 min per ep,135,12,22125,1948086,2845723
Gintama. Porori-hen,8.52,"Action, Comedy, Sci-Fi",13,Bandai Namco Pictures,23 min per ep,134,1229,929,106991,210410
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Action, Comedy, Sci-Fi",1,Sunrise,1 hr 35 min,133,1491,620,98321,169882
Shoujo☆Kageki Revue Starlight Movie,8.52,Drama,1,Kinema Citrus,2 hr,136,4901,956,9640,22316
Bakuman. 3rd Season,8.52,"Comedy, Drama, Romance",25,J.C.Staff,24 min per ep,132,760,2957,198603,337730
Kimi ni Todoke 3rd Season,8.51,"Drama, Romance",5,Production I.G,1 hr 6 min per ep,140,2462,665,25978,84776
Sora yori mo Tooi Basho,8.51,"Adventure, Comedy, Drama",13,Madhouse,23 min per ep,138,447,14512,226146,527121
Kara no Kyoukai Movie 5: Mujun Rasen,8.51,"Action, Drama, Fantasy, Mystery, Romance, Suspense",1,ufotable,1 hr 54 min,139,1052,4631,135577,245309
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,"Action, Mystery, Sci-Fi",26,Production I.G,25 min per ep,141,1115,3205,106433,233439
Samurai Champloo,8.51,"Action, Adventure, Comedy",26,Manglobe,24 min per ep,137,109,39262,658176,1286744
Yuru Camp△ Season 2,8.5,Slice of Life,13,C-Station,23 min per ep,145,1090,3106,105316,238939
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,"Action, Adventure",39,David Production,23 min per ep,142,128,41115,815817,1181731
Tian Guan Cifu Special,8.5,"Action, Adventure, Drama, Fantasy",1,Haoliners Animation League,21 min,144,3170,514,28131,54221
Ousama Ranking,8.5,"Adventure, Fantasy",23,Wit Studio,22 min per ep,143,314,13228,367201,696636
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.49,"Award Winning, Drama, Suspense",1,Shaft,1 hr 56 min,146,629,9218,236120,396808
Mob Psycho 100,8.49,"Action, Comedy, Supernatural",12,Bones,24 min per ep,147,28,50979,1338875,2182838
One Punch Man,8.49,"Action, Comedy",12,Madhouse,24 min per ep,148,4,65546,2315268,3350071
Yakusoku no Neverland,8.48,"Mystery, Suspense",12,CloverWorks,22 min per ep,152,39,32634,1335230,2049847
Uchuu Kyoudai,8.48,Comedy,99,A-1 Pictures,24 min per ep,149,1272,3887,54162,201043
Ansatsu Kyoushitsu 2nd Season,8.48,"Action, Comedy",25,Lerche,23 min per ep,149,86,17737,928427,1493788
Aria the Origination,8.48,"Fantasy, Sci-Fi, Slice of Life",13,HAL Film Maker,24 min per ep,150,1787,4207,33312,134629
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.47,"Action, Fantasy",1,ufotable,1 hr 57 min,157,605,3526,241650,409418
Spy x Family,8.47,"Action, Award Winning, Comedy",12,"Wit Studio, CloverWorks",24 min per ep,155,61,40075,1048317,1707599
Summertime Render,8.47,"Mystery, Supernatural, Suspense",25,OLM,23 min per ep,154,388,10148,251622,597592
Nichijou,8.47,Comedy,26,Kyoto Animation,23 min per ep,154,194,24618,383459,935400
Chi. Chikyuu no Undou ni Tsuite,8.46,Drama,25,Madhouse,25 min per ep,160,1715,1447,24363,141658
Mo Dao Zu Shi: Xian Yun Pian,8.46,"Action, Adventure, Drama, Fantasy, Mystery",8,B.CMAY PICTURES,24 min per ep,164,2066,1271,52247,111532
Mo Dao Zu Shi,8.46,"Action, Adventure, Drama, Fantasy, Mystery",15,B.CMAY PICTURES,25 min per ep,163,1069,6937,83642,242070
Banana Fish,8.46,"Action, Adventure, Drama, Suspense",24,MAPPA,22 min per ep,158,202,31114,391372,907942
Chainsaw Man,8.46,"Action, Fantasy",12,MAPPA,24 min per ep,159,62,49954,957432,1695025
Rainbow: Nisha Rokubou no Shichinin,8.46,"Drama, Suspense",26,Madhouse,22 min per ep,165,608,8511,161832,408882
Gintama: The Semi-Final,8.46,"Action, Comedy",2,Bandai Namco Pictures,24 min per ep,162,2475,257,42666,83960
Yuu☆Yuu☆Hakusho,8.46,"Action, Supernatural",112,Pierrot,23 min per ep,162,295,23795,343526,719243
Chihayafuru 3,8.46,"Drama, Sports",24,Madhouse,22 min per ep,160,1657,1626,66533,148210
Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.45,Sports,1,CygamesPictures,1 hr 48 min,170,6660,108,2990,10314
Pluto,8.45,"Action, Mystery, Sci-Fi, Suspense",8,Studio M2,1 hr 1 min per ep,167,1256,2689,88241,204297
Owarimonogatari,8.45,"Comedy, Mystery, Supernatural",12,Shaft,26 min per ep,166,484,2958,243139,493178
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,"Drama, Sci-Fi",1,White Fox,1 hr 30 min,168,376,2742,367331,615115
Doupo Cangqiong: Nian Fan,8.45,"Action, Adventure, Fantasy",157,Motion Magic,24 min per ep,168,6957,316,3091,9312
Zoku Owarimonogatari,8.44,"Comedy, Mystery, Supernatural",6,Shaft,28 min per ep,175,1087,1025,114750,239227
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,"Action, Adventure",24,David Production,23 min per ep,173,131,21282,828725,1168709
Grand Blue,8.44,Comedy,12,Zero-G,24 min per ep,171,248,20600,439848,822983
Kimetsu no Yaiba,8.44,"Action, Award Winning, Supernatural",26,ufotable,23 min per ep,174,5,92500,2206342,3209198
Haikyuu!!,8.44,Sports,25,Production I.G,24 min per ep,172,37,75813,1280476,2060291
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.43,"Adventure, Drama, Fantasy, Ecchi",12,Studio Bind,23 min per ep,179,512,4021,256282,468293
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.43,"Drama, Fantasy, Suspense",12,White Fox,29 min per ep,180,182,13014,569403,970019
Karakai Jouzu no Takagi-san Movie,8.43,Romance,1,Shin-Ei Animation,1 hr 13 min,178,2468,751,37771,84226
Bungou Stray Dogs 4th Season,8.43,"Action, Mystery",13,Bones,23 min per ep,176,797,3343,128601,322863
Golden Kamuy 3rd Season,8.43,"Action, Adventure",12,Geno Studio,23 min per ep,177,1394,1544,89632,182390
Mushishi Zoku Shou: Odoro no Michi,8.42,"Adventure, Mystery, Slice of Life, Supernatural",1,Artland,47 min,184,2142,125,51746,105342
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,"Slice of Life, Supernatural",1,Shuka,1 hr 44 min,185,2581,220,28431,78458
Kono Oto Tomare! Part 2,8.42,Drama,13,Platinum Vision,23 min per ep,181,1352,1774,100450,189242
Gintama: Yorinuki Gintama-san on Theater 2D,8.42,"Action, Comedy, Sci-Fi",2,Sunrise,1 hr 36 min per ep,189,3485,44,17491,45815
Tian Guan Cifu,8.42,"Action, Adventure, Drama, Fantasy",11,Haoliners Animation League,26 min per ep,187,1568,5825,69670,160246
Koukaku Kidoutai: Stand Alone Complex,8.42,"Action, Award Winning, Mystery, Sci-Fi",26,Production I.G,25 min per ep,183,607,8756,167947,408973
Saenai Heroine no Sodatekata Fine,8.42,"Comedy, Romance",1,CloverWorks,1 hr 54 min,186,1320,2671,88381,193902
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.42,"Adventure, Comedy, Fantasy",1,J.C.Staff,1 hr 30 min,182,241,4982,526852,833057
Hunter x Hunter,8.42,"Action, Adventure, Fantasy",62,Nippon Animation,23 min per ep,190,375,11522,299847,615958
Wu Liuqi: Xuanwu Guo Pian,8.42,"Action, Adventure, Comedy, Drama, Mystery",10,Sharefun Studio,16 min per ep,188,2682,845,40410,73588
Saiki Kusuo no Ψ-nan,8.41,Comedy,120,"J.C.Staff, Egg Firm",5 min per ep,193,132,31482,652728,1168399
Saiki Kusuo no Ψ-nan 2,8.41,Comedy,24,"J.C.Staff, Egg Firm",24 min per ep,194,325,4323,404806,676464
Shingeki no Kyojin: Kuinaki Sentaku,8.41,Action,2,Wit Studio,27 min per ep,195,439,2006,321417,538259
Jujutsu Kaisen 0 Movie,8.41,"Action, Supernatural",1,MAPPA,1 hr 44 min,191,147,10669,667879,1087559
Mononoke,8.41,"Horror, Mystery, Supernatural, Suspense",12,Toei Animation,22 min per ep,192,734,8754,99448,346202
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Drama,1,Kyoto Animation,1 hr 31 min,196,536,1663,264033,449281
Road of Naruto,8.4,"Action, Fantasy",1,Pierrot,9 min,,3932,118,21431,36294
Natsume Yuujinchou Roku Specials,8.4,"Slice of Life, Supernatural",2,Shuka,23 min per ep,199,3303,77,22706,50462
Kamisama Hajimemashita: Kako-hen,8.4,"Comedy, Romance, Supernatural",4,TMS Entertainment,30 min per ep,198,1438,1070,86604,175174
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,"Comedy, Romance",12,A-1 Pictures,25 min per ep,197,52,40837,1146265,1825040
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,"Drama, Fantasy",1,P.A. Works,1 hr 54 min,204,520,8090,202825,460846
Ramayana: The Legend of Prince Rama,8.39,Adventure,1,Nippon Ramayana Film Co.,2 hr 15 min,201,6077,222,6377,12887
Houseki no Kuni,8.39,"Action, Drama, Fantasy, Mystery",12,Orange,24 min per ep,203,490,14246,207743,487535
Major S5,8.39,Sports,25,SynergySP,24 min per ep,200,2699,642,42604,73016
Vivy: Fluorite Eye's Song,8.39,"Action, Sci-Fi, Suspense",13,Wit Studio,24 min per ep,205,412,11147,257105,570873
Blue Giant,8.39,,1,Nut,1 hr 59 min,202,3884,386,12865,37364
Yuru Camp△ Movie,8.39,Slice of Life,1,C-Station,2 hr,206,2416,461,31220,87276
Girls Band Cry,8.38,Drama,13,Toei Animation,23 min per ep,215,2160,2305,39141,103862
Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",1,Kinema Citrus,1 hr 45 min,210,1646,266,61969,149848
Kaze ga Tsuyoku Fuiteiru,8.38,"Drama, Sports",23,Production I.G,23 min per ep,209,814,6252,143735,315568
Josee to Tora to Sakana-tachi,8.38,"Drama, Romance",1,Bones,1 hr 38 min,207,510,6670,242649,469762
Fruits Basket: Prelude,8.38,"Drama, Romance",1,TMS Entertainment,1 hr 28 min,213,1971,850,44216,118485
